,id,country,country_3,city,longitude,latitude,cohort,role
0,0sahene,Ghana,GHA,Tamale,-0.8423986,9.4051992,5,participant
1,0x174,United States,USA,Boston,-71.060511,42.3554334,3,participant
2,4iro,Argentina,ARG,Buenos Aires,-58.4370894,-34.6075682,7,participant
3,4iro,Argentina,ARG,Buenos Aires,-58.4370894,-34.6075682,8,mentor
4,aath0,Switzerland,CHE,,,,1,expert
5,aath0,Switzerland,CHE,,,,2,expert
6,abdulelahsm,Saudi Arabia,SAU,Dammam,50.1039991,26.4367824,3,participant
7,abraham-dabengwa,South Africa,ZAF,Johannesburg,28.049722,-26.205,5,participant
8,abretaud,France,FRA,Rennes,-1.6800198,48.1113387,4,mentor
9,ac812,United Kingdom,GBR,Cambridge,0.1186637,52.2055314,dra,mentor
10,ac812,United Kingdom,GBR,Cambridge,0.1186637,52.2055314,dra,mentor
11,acocac,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,4,participant
12,acocac,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,5,mentor
13,acocac,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,dra,mentor
14,acocac,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,dra,mentor
15,adam-gristwood,Germany,DEU,Heidelberg,8.694724,49.4093582,3,expert
16,adekolagreat,Canada,CAN,,,,dra,participant
17,adnan1306,Canada,CAN,,,,dra,participant
18,adolfmukama,Kenya,KEN,"Kilifi, Mombasa",39.676239921006136,-4.049189950000001,catalyst,participant
19,afzal442,India,IND,,,,3,participant
20,agbeltran,United Kingdom,GBR,,,,2,expert
21,agossoubido2021,Benin,BEN,Abomey Calavi,2.3303076367454025,6.51096225,5,participant
22,ahlam-zidan,Canada,CAN,,,,dra,participant
23,ahmed-abdille,Somalia,SOM,Galkacyo,47.4209646,6.7788121,catalyst,participant
24,ahoyi,Nigeria,NGA,,,,7,speaker
25,aida-turing,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,3,participant
26,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,1,expert
27,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,1,mentor
28,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,2,expert
29,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,2,mentor
30,aidanbudd,Germany,DEU,Heidelberg,8.694724,49.4093582,3,expert
31,aieoman,Canada,CAN,,,,dra,participant
32,ailís-o'carroll,Ireland,IRL,,,,7,mentor
33,ajitesh-parihar,Canada,CAN,,,,dra,participant
34,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,expert
35,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,mentor
36,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,1,speaker
37,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,expert
38,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,mentor
39,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,2,speaker
40,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,4,expert
41,ajstewartlang,United Kingdom,GBR,Manchester,-2.2451148,53.4794892,5,speaker
42,akalikadien,Netherlands,NLD,Delft,4.362724538543995,51.999457199999995,5,participant
43,aldenc,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,6,participant
44,alecandian,Netherlands,NLD,,,,5,participant
45,alecandian,Netherlands,NLD,,,,6,expert
46,alecandian,Netherlands,NLD,,,,6,mentor
47,aleesteele,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,5,participant
48,aleesteele,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,6,expert
49,aleesteele,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,6,mentor
50,aleesteele,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,dra,mentor
51,aleserain,Brazil,BRA,Rio De Janeiro,-43.2093727,-22.9110137,catalyst,participant
52,alettes,South Africa,ZAF,Makhanda Grahamstown,26.496243,-33.2885486,8,participant
53,alex-mendonça,Brazil,BRA,,,,5,speaker
54,alex.alexis,Canada,CAN,,,,dra,participant
55,alexanderdefuria,Canada,CAN,,,,dra,participant
56,alexandra-araujo-alvarez,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,dra,mentor
57,alexandra-araujo-alvarez,United Kingdom,GBR,London,-0.14405508452768728,51.4893335,dra,mentor
58,alexholinski,United Kingdom,GBR,,,,3,expert
59,alexholinski,United Kingdom,GBR,,,,3,speaker
60,alexholinski,United Kingdom,GBR,,,,4,expert
61,alexholinski,United Kingdom,GBR,,,,4,mentor
62,alexholinski,United Kingdom,GBR,,,,5,expert
63,alexwlchan,United Kingdom,GBR,,,,1,speaker
64,alexwlchan,United Kingdom,GBR,,,,2,expert
